"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Glen Breton 21yo","8.26","0.40","3","$$$$$","SingleMalt-like","EF","E","Canada","Malt"
"Macallan 10yo Fine Oak","8.26","0.30","19","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Stalk & Barrel Single Malt (All Casks)","8.26","0.42","13","$$$","SingleMalt-like","EF","F","Canada","Malt"
"Glenrothes Elders' Reserve","8.25","0.71","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tobermory 10yo","8.25","0.42","23","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Auchentoshan Bartender's Malt","8.24","0.54","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Royal Brackla 12yo","8.24","0.47","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Edradour 10yo","8.23","0.70","17","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Scallywag","8.23","0.56","14","$$$$","SingleMalt-like","EF","E","Switzerland","Malt"
"Bruichladdich Sherry Classic","8.22","0.88","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Strathisla 12yo","8.22","0.30","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomintoul 12yo Oloroso Sherry","8.21","0.55","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich Select Cask","8.20","0.39","10","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Robert Burns Single Malt","8.19","0.53","9","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Deanston 12yo","8.19","0.46","17","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Tullibardine 1993 Sauternes","8.19","0.32","5","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 2001 (all bottlings)","8.18","0.62","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 12yo","8.16","0.33","20","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.15","0.09","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown Unit??","8.11","0.28","4","$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 15yo Sauternes Finish","8.10","0.51","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch Virgin Oak","8.10","0.50","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 10yo Chardonnay Cask","8.09","0.57","12","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Miltonduff 10yo (F&F)","8.08","0.43","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tomatin 12yo","8.07","0.45","19","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Dalmore Valour","8.06","0.36","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 12yo","8.06","0.30","22","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Tullibardine 228 Burgundy Finish","8.06","0.37","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Glendullan 12yo","8.05","0.41","14","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka Super","8.04","0.42","8","$$$","SingleMalt-like","EF","E","Japan","Malt"
"Tullamore Dew 10yo Single Malt","8.03","0.78","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","8.02","0.37","7","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"The Irishman Single Malt (NAS)","8.00","0.28","6","$$$","SingleMalt-like","EF","E","Ireland","Malt"
"Glen Deveron 10yo (Macduff)","7.98","0.37","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Founder's Reserve","7.97","0.37","15","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Millstone 8yo French Oak","7.97","0.63","4","$$$$","SingleMalt-like","EF","E","Netherlands","Malt"
"Scapa Skiren","7.96","0.56","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Santis Edition Sigel","7.95","0.80","7","$$$","SingleMalt-like","EF","E","Switzerland","Malt"
"Singleton of Glen Ord Signature","7.92","0.28","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Singleton of Dufftown 12yo","7.91","0.50","10","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Moray 12yo Chenin Blanc","7.87","0.75","6","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Select Reserve","7.79","0.38","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Penderyn Legend","7.74","0.77","7","$$$","SingleMalt-like","EF","F","Wales","Malt"
"Penderyn Aur Cymru","7.73","0.59","8","$$$$","SingleMalt-like","EF","E","Wales","Malt"
"Speyside 10yo","7.71","0.62","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mars Iwai Tradition","7.67","1.07","4","$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Mackmyra Special 01","7.62","0.44","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Glen Moray 16yo Chenin Blanc","7.60","0.55","4","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Santis Edition S??ntis","7.56","0.83","7","$$$$","SingleMalt-like","EF","F","Switzerland","Malt"
"McClelland's Speyside Single Malt","6.97","0.80","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Kavalan Solist Moscatel Cask","9.19","0.19","4","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Midleton Barry Crockett Legacy","9.08","0.24","10","$$$$$","SingleMalt-like","GH","G","Ireland","Blend"
"Yamazaki Limited Edition 2015","8.97","0.09","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Kirin 18yo (Fuji Sanroku)","8.95","0.46","4","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Mackmyra Iskristall","8.92","0.26","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Box The 2nd Step Collection 03","8.91","0.40","3","$$$$$","SingleMalt-like","GH","G","Sweden","Malt"
"Teeling Silver Reserve 21yo Sauternes Finish","8.91","0.34","10","$$$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Bruichladdich Laddie Twenty Two","8.88","0.25","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Double Single (all editions)","8.88","0.30","8","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Bruichladdich Laddie Ten (Second Edition)","8.85","0.23","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kilkerran 12yo","8.85","0.28","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Distillery Reserve Rum Cask","8.84","0.24","3","$$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.83","0.24","24","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten","8.82","0.28","18","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 21yo","8.82","0.26","12","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Arran Malt Orkney Bere Barley","8.81","0.31","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach 5yo","8.81","0.18","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Enlightenment","8.81","0.18","6","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Old Pulteney 21yo","8.81","0.44","18","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Breton Ice 17yo","8.80","0.11","3","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glencadam 30yo","8.80","0.21","3","$$$$$+","SingleMalt-like","GH","H","Scotland","Malt"
"Kilkerran Work in Progress Bourbon Wood","8.79","0.41","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackinlay 'Shackleton' Rare Old Highland Malt Whisky","8.79","0.35","18","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Westland Garryana","8.79","0.45","7","$$$$$","SingleMalt-like","GH","G","USA","Malt"
"Yamazaki Bourbon Barrel","8.79","0.24","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Macallan 17yo Fine Oak","8.78","0.50","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie Tusail","8.77","0.34","14","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 10yo","8.76","0.21","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Bladnoch 19yo (Cow label)","8.75","0.23","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Sixteen","8.75","0.20","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc 16yo","8.72","0.32","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hakushu 12yo","8.72","0.21","20","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Mackmyra Ten Years 10yo","8.72","0.13","4","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Glenfiddich 26yo Excellence","8.70","0.46","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan Podium","8.70","0.31","9","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.69","0.39","14","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Arran Malt 14yo","8.68","0.24","23","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Yamazaki 12yo","8.68","0.3","25","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Mackmyra The First Edition (Den F??rsta Utg??van)","8.67","0.33","17","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Stronachie 18yo","8.67","0.27","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Caol Ila 15yo Unpeated","8.65","0.43","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Dalwhinnie 15yo","8.65","0.35","20","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki Puncheon","8.64","0.23","10","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"AnCnoc 12yo","8.62","0.32","20","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Cask Strength","8.61","0.45","8","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hibiki 12yo","8.61","0.24","21","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Longrow 10yo","8.60","0.41","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine 20yo","8.60","0.28","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Preludium 03","8.59","0.85","5","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Inchgower 14yo (F&F)","8.58","0.50","8","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Linkwood 12yo (F&F)","8.58","0.32","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Aultmore 18yo","8.57","0.20","6","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kilkerran Work in Progress","8.57","0.33","14","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mars Maltage Cosmo","8.57","0.23","5","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"BenRiach 10yo","8.56","0.16","12","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Compass Box Rivals","8.56","0.56","4","$$$$$","SingleMalt-like","GH","G","Scotland","Blend"
"Spirit of Hven Urania","8.56","0.47","3","$$$$$+","SingleMalt-like","GH","H","Sweden","Malt"
"Tomintoul 25yo","8.56","0.63","5","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Ichiro's Malt Chichibu The Floor Malted","8.54","0.39","7","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.53","0.29","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Miyagikyo NAS","8.53","0.30","8","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Arran Malt 10yo","8.52","0.30","22","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton 15yo Battle of the Glen","8.52","0.27","7","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Tomatin Cu Bocan Virgin Oak Edition","8.51","0.47","3","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"GlenDronach 14yo Virgin Oak","8.50","0.36","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Special 07","8.50","0.52","7","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Aultmore 12yo","8.49","0.21","14","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glencadam 15yo","8.49","0.38","14","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glendalough 13yo Single Malt","8.49","0.30","9","$$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glenmorangie 10yo","8.48","0.43","25","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Kavalan King Car Conductor","8.48","0.34","10","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Ichiro's Malt Chichibu The First","8.47","0.40","12","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"AnCnoc Peter Arkle (all releases)","8.46","0.30","9","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glencadam 10yo","8.46","0.43","13","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Knappogue Castle 12yo","8.46","0.40","13","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Macallan 12yo Fine Oak","8.46","0.40","15","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Stronachie 10yo","8.46","0.48","3","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Benromach Traditional","8.45","0.42","13","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.45","0.52","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Sheep Dip Blended Malt","8.45","0.35","13","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Yamazaki NAS","8.45","0.23","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Bruichladdich Laddie Eight 8yo","8.44","0.45","7","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"FEW Single Malt","8.44","0.54","6","$$$$","SingleMalt-like","GH","G","USA","Malt"
"BenRiach 12yo","8.43","0.25","15","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra The Swedish Whisky (Brukswhisky)","8.43","0.54","11","$$","SingleMalt-like","GH","H","Sweden","Malt"
"Talisker Skye","8.43","0.29","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Craigellachie 13yo","8.41","0.57","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.41","0.27","13","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Hakushu Distiller's Reserve","8.41","0.19","4","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Kavalan Single Malt Whisky","8.41","0.49","18","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Wemyss Malts The Hive","8.41","0.21","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balblair 2000","8.39","0.32","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.39","0.37","17","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"White Oak Akashi 5yo","8.39","0.71","9","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Glenrothes Alba Reserve","8.38","0.16","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Strathmill 12yo","8.38","0.28","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hazelburn 8yo (Springbank)","8.36","0.38","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki Harmony","8.36","0.53","18","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Penderyn Myth","8.36","0.38","4","$$$","SingleMalt-like","GH","G","Wales","Malt"
"Tomatin Cask Strength","8.35","0.47","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo (G&M)","8.34","0.24","3","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Hakushu NAS","8.34","0.32","5","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Glen Grant 12yo","8.33","0.52","8","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Special 02","8.33","0.70","3","$$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Mackmyra Svensk Ek","8.33","0.24","3","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"BenRiach 20yo","8.32","0.70","11","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan Valinch","8.31","0.60","14","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamdhu 10yo","8.30","0.58","18","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomintoul 16yo","8.30","0.39","18","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Wolfburn (NAS)","8.3","0.35","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 1963 Original Malt","8.29","0.46","7","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bladnoch Vintage 1992-2007 (Signatory)","8.28","0.44","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Cardhu Amber Rock","8.28","0.28","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Highland Park Harald","8.28","0.43","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mannochmore 12yo (F&F)","8.28","0.14","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo","8.27","0.46","9","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Teerenpeli 10yo","8.27","0.39","6","$$$$$","SingleMalt-like","GH","H","Finland","Malt"
"Tullibardine Vintage 1993","8.27","0.43","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Amrut Indian Single Malt","8.26","0.84","17","$$$","SingleMalt-like","GH","G","India","Malt"
"Highland Park Svein","8.26","0.39","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Nikka Taketsuru NAS","8.26","0.31","6","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Bladnoch 1993-2009 (G&M)","8.25","0.20","5","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glengoyne 10yo","8.25","0.30","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"St George's Chapter 6 (unpeated)","8.25","0.46","10","$$$","SingleMalt-like","GH","G","England","Malt"
"Glenkinchie 12yo","8.24","0.23","17","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Gold","8.24","0.28","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton Ice 10yo","8.23","0.60","8","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.22","0.46","10","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Auchentoshan Virgin Oak","8.21","0.55","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bushmills 10yo Single Malt","8.21","0.30","20","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Glendalough 7yo Single Malt","8.21","0.28","6","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Stronachie 12yo","8.21","0.34","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tullibardine Sovereign","8.20","0.26","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenlossie 10yo (F&F)","8.19","0.31","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki Harmony Master's Select","8.19","0.76","5","$$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Nikka Gold & Gold","8.19","0.31","7","$$$","SingleMalt-like","GH","G","Japan","Malt"
"Tomatin Legacy","8.18","0.39","10","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tyrconnell Single Malt Irish Whiskey","8.18","0.36","16","$$","SingleMalt-like","GH","H","Ireland","Malt"
"The Quiet Man 8yo Single Malt","8.17","0.51","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Deanston Virgin Oak","8.16","0.42","15","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenrothes Bourbon Cask Reserve","8.15","0.19","3","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tormore 14yo","8.15","0.32","5","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Mackmyra Midnattssol","8.14","0.72","5","$$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Glenturret 10yo","8.11","0.51","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 12yo","8.10","0.22","26","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Knappogue Castle Vintage","8.10","0.79","5","$$$","SingleMalt-like","GH","H","Ireland","Malt"
"Lohin McKinnon Single Malt","8.09","0.35","4","$$$","SingleMalt-like","GH","H","Canada","Malt"
"Speyburn 10yo","8.09","0.33","20","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Cardhu 12yo","8.08","0.47","21","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Breton 14yo","8.08","0.59","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Spey 12yo (F&F)","8.07","0.44","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray 12yo","8.05","0.29","13","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Tullibardine Aged Oak Edition","8.05","0.43","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt Lochranza Reserve","8.04","0.60","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Breton 10yo Rare","8.04","0.49","14","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Tomatin Cu Bocan","8.03","0.41","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","7.97","0.47","7","$$","SingleMalt-like","GH","G","Ireland","Malt"
"Auchentoshan Classic","7.95","0.42","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Bladnoch 16yo (Signatory)","7.95","0.44","4","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Moray Classic","7.95","0.23","5","$","SingleMalt-like","GH","G","Scotland","Malt"
"Knockando 12yo (All Vintages)","7.94","0.42","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"White Oak Akashi Single Malt (NAS)","7.93","0.49","7","$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Pig's Nose 5yo Blended Malt","7.92","0.41","3","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tormore 12yo","7.92","0.38","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant The Major's Reserve","7.90","0.60","11","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Speyside 12yo","7.87","0.63","10","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tomintoul 10yo","7.84","0.50","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Auchentoshan 10yo","7.78","0.36","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan American Oak","7.78","0.86","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Heart of Speyside","7.74","0.86","7","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Tamnavulin 12yo","7.71","0.80","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Loch Lomond","7.70","0.44","12","$","SingleMalt-like","GH","H","Scotland","Malt"
"McClelland's Highland Single Malt","7.11","0.57","7","$$","SingleMalt-like","GH","G","Scotland","Malt"
"McClelland's Lowland Single Malt","7.00","0.53","4","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Talisker 35yo","9.32","0.34","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 30yo","9.31","0.21","12","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 30yo","9.19","0.32","13","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 18yo","9.17","0.20","18","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 42yo","9.12","0.45","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 16yo Local Barley","9.09","0.16","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2008 2nd Edition","9.06","0.27","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 11yo Local Barley","9.04","0.22","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary","9.03","0.31","17","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1994","9.03","0.36","7","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Sigurd","9.03","0.30","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 21yo","9.02","0.24","5","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 25yo","8.99","0.28","17","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart (all editions)","8.98","0.26","22","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC10 Tro Na Linntean","8.96","0.42","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1991","8.95","0.16","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch 1995","8.95","0.30","11","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi 15yo","8.95","0.26","16","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Tomatin Cu Bocan 1989 Limited Edition","8.95","0.26","4","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box The Lost Blend","8.94","0.23","13","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Bourbon Single Cask","8.94","0.23","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 19yo Marsala Finish","8.94","0.28","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 18yo","8.93","0.21","21","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary","8.92","0.32","9","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 57 North","8.92","0.21","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Distiller's Edition (all editions)","8.92","0.23","24","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 21yo Authenticus Peated","8.91","0.34","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Port Charlotte PC11 Eorna Na H-Alba","8.91","0.27","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Flaming Heart 2012 4th Edition","8.90","0.33","15","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Rockpool","8.89","0.28","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bladnoch 9yo Lightly Peated","8.88","0.58","4","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker 10yo","8.87","0.23","25","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Mizunara Cask Finish","8.86","0.43","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 25yo","8.86","0.20","10","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 25yo Authenticus Peated","8.82","0.48","11","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
